index,uuid,driver_version,name,gpu_serial,display_active,display_mode
2,GPU-af3a4183-2ea1-ff77-9754-6eb839e0d6f2,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Disabled,Disabled
3,GPU-c1561944-bdd2-46a5-f659-b20a0cb823fb,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
2,0,24564,15,24197,2025/06/15 21:31:31.197
3,20,24564,331,23877,2025/06/15 21:31:31.198
2,95,24564,9104,15107,2025/06/15 21:31:36.264
3,92,24564,9422,14787,2025/06/15 21:31:36.265
2,100,24564,9268,14943,2025/06/15 21:31:41.328
3,99,24564,9587,14621,2025/06/15 21:31:41.330
2,96,24564,9268,14943,2025/06/15 21:31:46.372
3,97,24564,9585,14624,2025/06/15 21:31:46.373
2,4,24564,9554,14657,2025/06/15 21:31:51.440
3,100,24564,9872,14337,2025/06/15 21:31:51.441
2,95,24564,9554,14657,2025/06/15 21:31:56.506
3,95,24564,9872,14337,2025/06/15 21:31:56.508
2,100,24564,9554,14657,2025/06/15 21:32:01.573
3,100,24564,9871,14337,2025/06/15 21:32:01.574
2,94,24564,9554,14657,2025/06/15 21:32:06.642
3,95,24564,9873,14335,2025/06/15 21:32:06.643
2,0,24564,9554,14657,2025/06/15 21:32:11.706
3,100,24564,9872,14337,2025/06/15 21:32:11.707
2,0,24564,9554,14657,2025/06/15 21:32:16.772
3,100,24564,9871,14337,2025/06/15 21:32:16.773
2,0,24564,9554,14657,2025/06/15 21:32:21.838
3,100,24564,9871,14337,2025/06/15 21:32:21.839
2,0,24564,9554,14657,2025/06/15 21:32:26.898
3,100,24564,9871,14337,2025/06/15 21:32:26.899
2,0,24564,9554,14657,2025/06/15 21:32:31.948
3,100,24564,9871,14337,2025/06/15 21:32:31.948
2,94,24564,9554,14657,2025/06/15 21:32:37.015
3,94,24564,9870,14339,2025/06/15 21:32:37.019
2,93,24564,9554,14657,2025/06/15 21:32:42.087
3,94,24564,9872,14337,2025/06/15 21:32:42.088
2,45,24564,9554,14657,2025/06/15 21:32:47.136
3,71,24564,9871,14337,2025/06/15 21:32:47.137
2,0,24564,9554,14657,2025/06/15 21:32:52.199
3,100,24564,9871,14338,2025/06/15 21:32:52.200
2,3,24564,9554,14657,2025/06/15 21:32:57.260
3,100,24564,10259,13949,2025/06/15 21:32:57.260
2,0,24564,9554,14657,2025/06/15 21:33:02.308
3,100,24564,10260,13949,2025/06/15 21:33:02.309
2,0,24564,9554,14657,2025/06/15 21:33:07.374
3,100,24564,10259,13950,2025/06/15 21:33:07.374
2,93,24564,9554,14657,2025/06/15 21:33:12.429
3,93,24564,10259,13949,2025/06/15 21:33:12.430
2,92,24564,9554,14657,2025/06/15 21:33:17.498
3,93,24564,10261,13948,2025/06/15 21:33:17.500
2,91,24564,9554,14657,2025/06/15 21:33:22.564
3,92,24564,10259,13950,2025/06/15 21:33:22.566
2,0,24564,9554,14657,2025/06/15 21:33:27.609
3,100,24564,10259,13950,2025/06/15 21:33:27.610
2,0,24564,9554,14657,2025/06/15 21:33:32.673
3,100,24564,10259,13949,2025/06/15 21:33:32.674
2,100,24564,9554,14657,2025/06/15 21:33:37.718
3,100,24564,10258,13950,2025/06/15 21:33:37.719
2,90,24564,9554,14657,2025/06/15 21:33:42.785
3,93,24564,10258,13950,2025/06/15 21:33:42.788
2,0,24564,9554,14657,2025/06/15 21:33:47.855
3,3,24564,10261,13948,2025/06/15 21:33:47.856
2,0,24564,9554,14657,2025/06/15 21:33:52.922
3,100,24564,10259,13949,2025/06/15 21:33:52.923
